0	23	5.111806
0	128	4.630870
0	168	4.346389
0	7	3.808731
0	70	3.740884
0	32	3.664533
0	174	3.424307
0	142	3.328393
0	135	3.253832
0	138	3.092165
2	23	5.217480
2	168	4.798809
2	128	4.543100
2	7	3.833885
2	32	3.823865
2	123	3.642193
2	174	3.247164
2	138	3.084924
2	91	3.024719
2	213	2.907117
5	7	4.710918
5	23	4.683043
5	168	4.659473
5	128	4.608022
5	81	3.724286
5	174	3.585824
5	32	3.401102
5	47	3.344202
5	138	3.122297
5	210	3.050952
15	23	5.072674
15	128	4.656718
15	168	4.314223
15	32	4.134999
15	81	4.006803
15	7	3.571022
15	77	3.412344
15	91	3.271420
15	138	3.136077
15	174	2.960053
17	23	4.862173
17	128	4.599980
17	168	4.545172
17	7	3.992628
17	32	3.979021
17	81	3.465364
17	91	3.202250
17	174	3.165683
17	138	2.892265
17	213	2.740200
18	168	4.682211
18	7	4.580281
18	128	4.551119
18	23	4.354732
18	32	3.919815
18	174	3.570443
18	47	3.237695
18	138	2.997442
18	213	2.990736
18	123	2.847900
22	168	4.709610
22	23	4.580566
22	128	4.572214
22	7	4.104813
22	32	4.066463
22	174	3.470994
22	91	2.983834
22	81	2.948315
22	47	2.866661
22	213	2.834248
26	128	4.684738
26	168	4.149005
26	23	4.135486
26	32	3.981293
26	7	3.735290
26	81	3.260446
26	91	3.168052
26	213	3.062580
26	174	2.987248
26	77	2.892239
35	23	5.046938
35	128	4.646604
35	7	4.507700
35	168	4.404303
35	32	3.858429
35	174	3.429380
35	81	3.424592
35	142	3.267328
35	138	3.123578
35	123	3.109185
38	23	4.678183
38	128	4.644097
38	168	4.302178
38	7	4.165585
38	81	3.939194
38	32	3.924167
38	91	3.250050
38	187	3.207745
38	213	3.067106
38	174	2.922703
40	128	4.611489
40	23	4.396995
40	168	4.368300
40	7	4.021665
40	32	3.943385
40	81	3.294254
40	47	3.222301
40	174	3.139396
40	77	2.932701
40	213	2.873339
43	128	4.655740
43	23	4.036086
43	168	3.896990
43	32	3.694869
43	7	3.195227
43	142	3.046350
43	174	2.943584
43	81	2.927027
43	91	2.828984
43	47	2.571232
44	128	4.614444
44	168	4.499248
44	23	4.403847
44	7	4.141992
44	174	3.764230
44	32	3.469925
44	47	3.191441
44	138	3.152038
44	142	3.108608
44	81	2.925393
47	128	4.639387
47	23	4.477074
47	32	4.140894
47	168	4.093273
47	70	3.886843
47	7	3.631098
47	174	3.288484
47	135	3.228931
47	91	2.873188
47	142	2.857715
49	168	4.942241
49	128	4.481514
49	23	4.414334
49	7	4.249173
49	47	3.707975
49	32	3.636154
49	174	3.489915
49	91	3.344138
49	181	3.112299
49	123	3.042058
54	128	4.653565
54	168	3.558244
54	174	3.485375
54	159	3.481394
54	37	3.406208
54	135	3.355335
54	32	3.142119
54	181	2.944347
54	173	2.788831
54	62	2.744617
56	128	4.636761
56	174	3.752740
56	168	3.622581
56	159	3.610071
56	135	3.356112
56	32	3.180828
56	181	2.975164
56	37	2.964365
56	13	2.836216
56	62	2.771527
58	128	4.679375
58	168	3.611270
58	174	3.520516
58	32	3.470160
58	62	3.331152
58	135	3.149069
58	51	2.820973
58	142	2.812386
58	13	2.668549
58	37	2.620344
63	128	4.721055
63	32	3.475079
63	168	3.423842
63	174	3.320108
63	37	3.179617
63	135	3.128259
63	62	3.110158
63	13	2.803439
63	181	2.738247
63	51	2.663700
68	128	4.604997
68	168	3.528454
68	32	3.436690
68	135	3.223114
68	62	3.157023
68	174	3.064554
68	142	2.971384
68	181	2.902715
68	23	2.769013
68	80	2.635412
69	128	4.628509
69	62	3.765171
69	142	3.577233
69	174	3.567008
69	168	3.369556
69	135	3.323170
69	32	3.319264
69	181	3.000452
69	13	2.902398
69	51	2.526590
73	128	4.639437
73	174	3.800006
73	168	3.630713
73	159	3.162251
73	32	3.150078
73	181	3.052349
73	62	3.001107
73	142	2.818539
73	173	2.800040
73	135	2.773961
74	128	4.768758
74	174	3.525795
74	62	3.416312
74	32	3.365735
74	37	3.207246
74	168	3.188267
74	135	3.177095
74	13	2.810164
74	142	2.444015
74	181	2.336256
76	128	4.624973
76	32	3.744052
76	168	3.513674
76	135	3.499240
76	181	3.384208
76	51	3.295862
76	174	3.111499
76	37	2.876462
76	62	2.854672
76	173	2.666596
84	128	4.763628
84	174	3.533713
84	168	3.242480
84	32	3.188358
84	62	3.187478
84	37	3.108062
84	135	3.028424
84	142	2.890600
84	173	2.629910
84	181	2.510679
87	128	4.749636
87	37	3.619978
87	32	3.572883
87	62	3.396367
