34	Early Access
113	Action
124	Action
124	Indie
124	Early Access
141	Action
141	Adventure
141	Strategy
49	RPG
108	Action
108	RPG
175	Action
175	Adventure
175	RPG
92	RPG
89	Adventure
89	Indie
89	RPG
215	Strategy
215	Early Access
164	Indie
164	Strategy
3	Simulation
3	Strategy
0	Adventure
0	Indie
0	Simulation
0	Early Access
183	Adventure
183	Casual
183	Indie
183	RPG
183	Simulation
167	Indie
167	Simulation
167	Strategy
167	Early Access
33	Strategy
53	Casual
53	Indie
53	Simulation
87	Action
87	Indie
87	RPG
96	Adventure
96	Casual
96	Indie
12	Action
26	Action
26	Adventure
26	Free to Play
26	Massively Multiplayer
26	RPG
198	Adventure
198	Indie
115	Action
115	Indie
115	Massively Multiplayer
115	Early Access
44	Indie
44	Simulation
44	Strategy
44	Early Access
207	Action
171	Adventure
171	Indie
171	Simulation
171	Strategy
59	Action
59	Adventure
59	Indie
59	Simulation
179	Violent
179	Action
179	Adventure
212	Action
212	Casual
212	Indie
189	Action
98	Indie
112	Indie
112	Simulation
75	RPG
84	Action
84	Indie
190	RPG
190	Strategy
146	Action
146	Indie
146	RPG
146	Strategy
146	Early Access
185	Simulation
123	Action
123	Adventure
139	Simulation
139	Sports
11	Action
11	Indie
184	Adventure
4	Action
4	Adventure
4	Massively Multiplayer
4	RPG
4	Early Access
17	Simulation
17	Sports
155	Action
155	Indie
155	Early Access
131	Action
161	Simulation
161	Sports
65	Action
62	Casual
88	Strategy
